county,precinct,office,district,party,candidate,votes,early_voting,election_day
Fisher,12,President,,REP,Chris Christie,0,0,0
Fisher,12,President,,REP,Rick Santorum,1,0,1
Fisher,12,President,,REP,Carly Fiorina,0,0,0
Fisher,12,President,,REP,Rand Paul,0,0,0
Fisher,12,President,,REP,Ben Carson,6,0,6
Fisher,12,President,,REP,Lindsey Graham,0,0,0
Fisher,12,President,,REP,John R Kasich,1,1,0
Fisher,12,President,,REP,Donald J Trump,25,7,18
Fisher,12,President,,REP,Elizabeth Gray,10,10,0
Fisher,12,President,,REP,Uncommitted,1,1,0
Fisher,12,U.S. House,19,REP,Donald R May,10,2,8
Fisher,12,U.S. House,19,REP,Greg Garrett,8,2,6
Fisher,12,U.S. House,19,REP,Jodey Arrington,39,5,34
Fisher,12,U.S. House,19,REP,Michael Bob Starr,17,3,14
Fisher,12,U.S. House,19,REP,DeRenda Warren,3,0,3
Fisher,12,U.S. House,19,REP,John C Key,1,0,1
Fisher,12,U.S. House,19,REP,Glen Robertson,19,7,12
Fisher,12,U.S. House,19,REP,Jason Corley,2,1,1
Fisher,12,U.S. House,19,REP,Don Parrish,2,0,2
Fisher,12,Railroad Commissioner,,REP,Weston Martinez,10,0,10
Fisher,12,Railroad Commissioner,,REP,Doug Jeffrey,21,6,15
Fisher,12,Railroad Commissioner,,REP,Gary Gates,16,7,9
Fisher,12,Railroad Commissioner,,REP,Ron Hale,11,0,11
Fisher,12,Railroad Commissioner,,REP,Lance N Christian,6,0,6
Fisher,12,Railroad Commissioner,,REP,John Greytok,2,1,1
Fisher,12,Railroad Commissioner,,REP,Wayne Christian,15,5,10
Fisher,12,"Justice, Supreme Court Pl 3",,REP,Michael Massengale,52,16,36
Fisher,12,"Justice, Supreme Court Pl 3",,REP,Debra Lehrmann,30,3,27
Fisher,12,"Justice, Supreme Court Pl 5",,REP,Paul Green,44,11,33
Fisher,12,"Justice, Supreme Court Pl 5",,REP,Rick Green,33,6,27
Fisher,12,"Justice, Supreme Court Pl 9",,REP,Eva Guzman,42,11,31
Fisher,12,"Justice, Supreme Court Pl 9",,REP,Joe Pool,36,4,32
Fisher,12,"Judge, Court of Criminal Appeals, Pl 2",,REP,y Wheless,29,8,21
Fisher,12,"Judge, Court of Criminal Appeals, Pl 2",,REP,Chris Oldner,12,2,10
Fisher,12,"Judge, Court of Criminal Appeals, Pl 2",,REP,Mary Lou Keel,27,8,19
Fisher,12,"Judge, Court of Criminal Appeals, Pl 5",,REP,Scott Walker,44,10,34
Fisher,12,"Judge, Court of Criminal Appeals, Pl 5",,REP,Sid Harle,7,3,4
Fisher,12,"Judge, Court of Criminal Appeals, Pl 5",,REP,Steve Smith,9,1,8
